;InvoiceNo;StockCode;Description
0;536365;85123A;WHITE HANGING HEART T-LIGHT HOLDER
1;536365;71053;WHITE METAL LANTERN
2;536365;84406B;CREAM CUPID HEARTS COAT HANGER
3;536365;84029G;KNITTED UNION FLAG HOT WATER BOTTLE
4;536365;84029E;RED WOOLLY HOTTIE WHITE HEART.
5;536365;22752;SET 7 BABUSHKA NESTING BOXES
6;536365;21730;GLASS STAR FROSTED T-LIGHT HOLDER
7;536366;22633;HAND WARMER UNION JACK
8;536366;22632;HAND WARMER RED POLKA DOT
21;536368;22960;JAM MAKING SET WITH JARS
22;536368;22913;RED COAT RACK PARIS FASHION
23;536368;22912;YELLOW COAT RACK PARIS FASHION
24;536368;22914;BLUE COAT RACK PARIS FASHION
25;536369;21756;BATH BUILDING BLOCK WORD
46;536371;22086;PAPER CHAIN KIT 50'S CHRISTMAS 
47;536372;22632;HAND WARMER RED POLKA DOT
48;536372;22633;HAND WARMER UNION JACK
65;536374;21258;VICTORIAN SEWING BOX LARGE
82;536376;22114;HOT WATER BOTTLE TEA AND SYMPATHY
83;536376;21733;RED HANGING HEART T-LIGHT HOLDER
84;536377;22632;HAND WARMER RED POLKA DOT
85;536377;22633;HAND WARMER UNION JACK
105;536380;22961;JAM MAKING SET PRINTED
168;536385;22783;SET 3 WICKER OVAL BASKETS W LIDS
169;536385;22961;JAM MAKING SET PRINTED
170;536385;22960;JAM MAKING SET WITH JARS
171;536385;22663;JUMBO BAG DOLLY GIRL DESIGN
172;536385;85049A;TRADITIONAL CHRISTMAS RIBBONS
173;536385;22168;ORGANISER WOOD ANTIQUE WHITE 
174;536385;22662;LUNCH BAG DOLLY GIRL DESIGN
175;536386;84880;WHITE WIRE EGG HOLDER
176;536386;85099C;JUMBO  BAG BAROQUE BLACK WHITE
177;536386;85099B;JUMBO BAG RED RETROSPOT
178;536387;79321;CHILLI LIGHTS
179;536387;22780;LIGHT GARLAND BUTTERFILES PINK
180;536387;22779;WOODEN OWLS LIGHT GARLAND 
181;536387;22466;FAIRY TALE COTTAGE NIGHTLIGHT
182;536387;21731;RED TOADSTOOL LED NIGHT LIGHT
252;536393;22180;RETROSPOT LAMP
296;536397;35004B;SET OF 3 BLACK FLYING DUCKS
297;536397;35004C;SET OF 3 COLOURED  FLYING DUCKS
315;536399;22632;HAND WARMER RED POLKA DOT
316;536399;22633;HAND WARMER UNION JACK
317;536400;22969;HOMEMADE JAM SCENTED CANDLES
382;536402;22086;PAPER CHAIN KIT 50'S CHRISTMAS 
383;536402;22910;PAPER CHAIN KIT VINTAGE CHRISTMAS
